Percent Increase,Resistor ID,DegreesC,Thousands of Hours
0.28,R1,83,0.452
0.32,R1,83,1.03
0.38,R1,83,4.341
0.62,R1,83,8.084
0.22,R2,83,0.452
0.24,R2,83,1.03
0.26,R2,83,4.341
0.38,R2,83,8.084
0.41,R3,83,0.452
0.46,R3,83,1.03
0.54,R3,83,4.341
0.81,R3,83,8.084
0.25,R4,83,0.452
0.29,R4,83,1.03
0.32,R4,83,4.341
0.48,R4,83,8.084
0.25,R5,83,0.452
0.26,R5,83,1.03
0.42,R5,83,4.341
0.57,R5,83,8.084
0.32,R6,83,0.452
0.36,R6,83,1.03
0.45,R6,83,4.341
0.58,R6,83,8.084
0.36,R7,83,0.452
0.41,R7,83,1.03
0.52,R7,83,4.341
0.7,R7,83,8.084
0.24,R8,83,0.452
0.28,R8,83,1.03
0.34,R8,83,4.341
0.55,R8,83,8.084
0.33,R9,83,0.452
0.4,R9,83,1.03
0.44,R9,83,4.341
0.85,R9,83,8.084
0.4,R10,83,0.452
0.47,R10,83,1.03
0.72,R10,83,4.341
1.05,R10,83,8.084
0.88,R11,133,0.452
1.19,R11,133,1.03
2.06,R11,133,4.341
3.15,R11,133,8.084
0.53,R12,133,0.452
0.64,R12,133,1.03
0.99,R12,133,4.341
1.6,R12,133,8.084
0.47,R13,133,0.452
0.62,R13,133,1.03
1,R13,133,4.341
1.5,R13,133,8.084
0.57,R14,133,0.452
0.75,R14,133,1.03
1.26,R14,133,4.341
2.03,R14,133,8.084
0.55,R15,133,0.452
0.67,R15,133,1.03
1.09,R15,133,4.341
1.79,R15,133,8.084
0.78,R16,133,0.452
0.96,R16,133,1.03
1.48,R16,133,4.341
2.27,R16,133,8.084
0.83,R17,133,0.452
1.12,R17,133,1.03
1.96,R17,133,4.341
3.29,R17,133,8.084
0.64,R18,133,0.452
0.8,R18,133,1.03
1.23,R18,133,4.341
1.84,R18,133,8.084
0.55,R19,133,0.452
0.74,R19,133,1.03
1.29,R19,133,4.341
2.03,R19,133,8.084
0.87,R20,133,0.452
1.29,R20,133,1.03
2.62,R20,133,4.341
4.44,R20,133,8.084
1.25,R21,173,0.452
1.88,R21,173,1.03
3.54,R21,173,4.341
5.23,R21,173,8.084
2.64,R22,173,0.452
3.78,R22,173,1.03
7.01,R22,173,4.341
11.12,R22,173,8.084
0.98,R23,173,0.452
1.36,R23,173,1.03
2.66,R23,173,4.341
4.42,R23,173,8.084
1.62,R24,173,0.452
2.34,R24,173,1.03
3.82,R24,173,4.341
6.14,R24,173,8.084
1.59,R25,173,0.452
2.41,R25,173,1.03
3.46,R25,173,4.341
6.75,R25,173,8.084
2.29,R26,173,0.452
2.24,R26,173,1.03
6.3,R26,173,4.341
8.34,R26,173,8.084
0.98,R27,173,0.452
1.37,R27,173,1.03
2.47,R27,173,4.341
3.74,R27,173,8.084
1.04,R28,173,0.452
1.54,R28,173,1.03
2.77,R28,173,4.341
4.16,R28,173,8.084
1.19,R29,173,0.452
1.59,R29,173,1.03
3.03,R29,173,4.341
4.52,R29,173,8.084
