cycles,Cell 1,Cell 2 ,Cell 3,Cell 4 
0,2.543,2.532,2.525,2.496
150,2.497,2.495,2.487,2.466
300,2.466,2.467,2.463,2.438
450,2.453,2.452,2.447,2.435
600,2.428,2.424,2.412,2.399
750,2.4,2.4,2.393,2.376
900,2.377,2.378,2.369,2.351
1050,2.358,2.355,2.348,2.328
1200,2.337,2.34,2.328,2.308
1350,2.295,2.302,2.285,2.27
1500,2.273,2.27,2.256,2.238
1600,2.263,2.271,2.248,2.231
1700,2.259,2.268,2.246,2.229
1800,2.253,2.264,2.239,2.223
1900,2.229,2.242,2.217,2.199
2000,2.213,2.225,2.197,2.18
2100,2.204,2.221,2.196,2.176
2300,2.158,2.186,2.156,2.136
2400,2.141,2.174,2.14,2.117
2500,2.109,2.149,2.113,2.092
2600,2.109,2.16,2.119,2.097
2700,2.09,2.164,2.108,2.084
2800,2.074,2.126,2.09,2.066
2900,2.043,2.088,2.054,2.04
3000,2.009,2.062,2.027,2.009
3400,2,1.996,1.982,1.955
3500,1.981,1.982,1.973,1.949
3600,1.958,1.961,1.96,1.932
3700,1.932,1.931,1.938,1.909
3800,1.919,1.916,1.926,1.902
3900,1.889,1.884,1.902,1.88
4000,1.871,1.866,1.886,1.866
4100,1.849,1.833,1.868,1.849
4200,1.822,1.795,1.845,1.824
4300,1.783,1.75,1.815,1.793
4400,1.75,1.704,1.788,1.764
4500,1.707,1.645,1.752,1.728
4600,1.669,1.597,1.726,1.701
4700,1.617,1.537,1.679,1.654
4800,1.573,1.487,1.639,1.612
4900,1.529,1.441,1.606,1.584
5000,1.485,1.393,1.571,1.545
